detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.84375,160,Faraday dark-field,8,10.4112451789,10.4112451789,1,1,depletion,0.167192659524,0.331976201142,0.0334933179788,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,160,Faraday dual-port,8,19.7506681885,19.7506681885,1,1,depletion,0.167192659524,0.331976201142,0.0334933179788,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,165,Faraday dark-field,8,10.5875949403,10.5875949403,1,1,depletion,0.172377702754,0.342199039282,0.0345399841657,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,165,Faraday dual-port,8,20.0576576238,20.0576576238,1,1,depletion,0.172377702754,0.342199039282,0.0345399841657,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,170,Faraday dark-field,8,10.7611333622,10.7611333622,1,1,depletion,0.177560400502,0.352413151694,0.0355866503525,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,170,Faraday dual-port,8,20.3600188889,20.3600188889,1,1,depletion,0.177560400502,0.352413151694,0.0355866503525,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,175,Faraday dark-field,8,10.9319882933,10.9319882933,1,1,depletion,0.182740758064,0.36261857549,0.0366333165394,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,175,Faraday dual-port,8,20.6579551973,20.6579551973,1,1,depletion,0.182740758064,0.36261857549,0.0366333165394,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,180,Faraday dark-field,8,11.1002783068,11.1002783068,1,1,depletion,0.187918780714,0.3728153475,0.0376799827262,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,180,Faraday dual-port,8,20.9516553128,20.9516553128,1,1,depletion,0.187918780714,0.3728153475,0.0376799827262,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,185,Faraday dark-field,8,11.2661136066,11.2661136066,1,1,depletion,0.193094473704,0.383003504273,0.038726648913,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,185,Faraday dual-port,8,21.2412949488,21.2412949488,1,1,depletion,0.193094473704,0.383003504273,0.038726648913,0.0867489724436,-0.494505494505,0.13,0.7
0.84375,190,Faraday dark-field,8,11.4295968232,11.4295968232,1,1,depletion,0.198267842266,0.393183082081,0.0397733150999,0.0867489724436,-0.494505494505,0.13,0.7
